Item Type,Publication Year,Title,Url,Responsáveis pela leitura,Column 6
webpage,,Deep reinforcement learning-based approach for rumor influence minimization in social networks | Applied Intelligence,https://link.springer.com/article/10.1007/s10489-023-04555-y,wechat,
journalArticle,2022,Detection of fake images on whatsApp using socio-temporal features,https://link.springer.com/10.1007/s13278-022-00883-y,foca na detecção de desinformação em imagens compartilhadas no WhatsApp,
webpage,,Detection of False Information in Spanish Using Machine Learning Techniques | SpringerLink,https://link.springer.com/chapter/10.1007/978-3-031-21753-1_5,não foca em apps de msg mas tem whatsapp como plataforma testada: detecção de desinformação multilingue ,
webpage,,Detection of Misinformation About COVID-19 in Brazilian Portuguese WhatsApp Messages | SpringerLink,https://link.springer.com/chapter/10.1007/978-3-030-80599-9_18,"Conjunto de dados de mensagens do WhatsApp sobre o coronavírus, coletadas de grupos públicos brasileiros e rotuladas manualmente. Além disso avaliaram avaliadores de desinformaçãi",
webpage,,Discursive strategies for disinformation on WhatsApp and Twitter during the 2018 Brazilian presidential election | First Monday,https://firstmonday.org/ojs/index.php/fm/article/view/10551,Analisa notícias falsas sobre as urnas no WPP e Twitter,
webpage,,Disinformation networks: A quali-quantitative investigation of antagonistic Dutch-speaking Telegram channels | First Monday,https://firstmonday.org/ojs/index.php/fm/article/view/12533,"Este estudo investiga redes antagônicas e discursos de desinformação no Telegram, com foco em canais de extrema-direita e conspiracionistas na Flandres e nos Países Baixos.",
webpage,,Don’t Break the Chain: Measuring Message Forwarding on WhatsApp | Proceedings of the International AAAI Conference on Web and Social Media,https://ojs.aaai.org/index.php/ICWSM/article/view/31372,"Este estudo investiga o papel dos encaminhamentos de mensagens no WhatsApp na disseminação de desinformação, com foco em grupos públicos brasileiros dedicados à discussão política",
webpage,,Exploring fake news identification using word and sentence embeddings - IOS Press,https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs189865,"Esse estudo investiga formas de diferenciar notícias falsas de verdadeiras usando técnicas avançadas de aprendizado de máquina e representação de palavras -> Notícias no wpp, facebook e twitter",
webpage,,Exploring the Vulnerability of Social Media for Crowdsourced Intelligence Under a False Flag | SpringerLink,https://link.springer.com/chapter/10.1007/978-3-031-37450-0_26,,
webpage,,Fake face image detection using feature network | International journal of health sciences,https://sciencescholar.us/journal/index.php/ijhs/article/view/9310,detecção de imagens falsas via deep learning,
journalArticle,2024,Fake News Detection using Machine Learning,http://ijarsct.co.in/Paper18244.pdf,ML e desinformação,
webpage,,Fake News Detection using Machine Learning | ITM Web of Conferences,https://www.itm-conferences.org/articles/itmconf/abs/2021/05/itmconf_icacc2021_03003/itmconf_icacc2021_03003.html,Este estudo propõe um modelo de detecção de notícias falsas utilizando aprendizado de máquina. -> Uma das redes sociais é o Wpp,
webpage,,Fake News Detection Using Machine Learning and Deep Learning Classifiers | SpringerLink,https://link.springer.com/chapter/10.1007/978-981-99-3982-4_14,"Usaram machine learning para detectar fake news no tweet, Pages on FB, WhatsApp Groups, as well as other microblogs as well as social channels. ",
webpage,,Fake News Detection With the Help of Computation Time to Increase Accuracy | IGI Global Scientific Publishing,https://www.igi-global.com/gateway/chapter/333789,detecção automatizada de desinformação,
webpage,,Fake Video News Detection Using Deep Learning Algorithm | SpringerLink,https://link.springer.com/chapter/10.1007/978-981-19-3148-2_72,desinformação e PLN,
webpage,,Following Negationists on Twitter and Telegram: Application of NCD to the Analysis of Multiplatform Misinformation Dynamics | SpringerLink,https://link.springer.com/chapter/10.1007/978-3-031-21333-5_110,"O estudo analisa como a desinformação se espalha entre plataformas, focando em negacionistas da COVID-19 no Twitter e Telegram. Ele propõe um método para identificar e rastrear esses usuários e verificar a disseminação de fake news.",
webpage,,Frontiers | Connectivity Between Russian Information Sources and Extremist Communities Across Social Media Platforms,https://www.frontiersin.org/journals/political-science/articles/10.3389/fpos.2022.885362/full,fala sobre desinformação estatal russa,
webpage,,Frontiers | Perceived Information Overload and Unverified Information Sharing on WeChat Amid the COVID-19 Pandemic: A Moderated Mediation Model of Anxiety and Perceived Herd,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2022.837820/full,"compartilhamento de informações não verificadas nas redes sociais, especificamente no WeChat, durante a pandemia de COVID-19",
webpage,,Full article: Misinformation and professional news on largely unmoderated platforms: the case of telegram,https://www.tandfonline.com/doi/full/10.1080/19331681.2022.2076272,investigamos até que ponto a desinformação realmente floresce em plataformas amplamente não moderadas,
webpage,,Hold Your Fingers: The Communication Ethics on WhatsApp Based on the Hadith | Hasanah | Jurnal Komunikasi: Malaysian Journal of Communication,https://ejournal.ukm.my/mjc/article/view/56930,O estudo analisa a disseminação de informações falsas sobre a COVID-19 no WhatsApp na Indonésia sob a perspectiva dos ensinamentos do Hadith -> Apesar do aspecto religioso é feita uma análise de mensagens falsas no WPP na Índia,
webpage,,"How Disinformation on WhatsApp Went From Campaign Weapon to Governmental Propaganda in Brazil - Joao V. S. Ozawa, Samuel C. Woolley, Joseph Straubhaar, Martin J. Riedl, Katie Joseff, Jacob Gursky, 2023",https://journals.sagepub.com/doi/10.1177/20563051231160632,"O foco é a fake news, mas tem o aspecto de como ela influênciou na política. Mostra como são as notícias de uma forma geral.",
webpage,,How to improve the rumor-confutation ability of official rumor-refuting account on social media: A Chinese case study - ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S0140366423002542?via%3Dihub,foco em wechat,
webpage,,"How to Improve the Rumor-Confutation Ability of Official Rumor-Refuting Account on Social Media: A Chinese Case Study by Yan Tu, Linqi Cheng, Liyi Liu, Zongmin Li, Benjamin Lev :: SSRN",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4265408,sobre wechat e desinformação,
journalArticle,2023,Implementing A Passive Aggressive Classifier To Detect False Information,https://ijarcce.com/wp-content/uploads/2023/05/IJARCCE.2023.124134.pdf,"Proposta de classificados de fake news ->  Facebook, WhatsApp, Instagram, Twitter",
webpage,,"Information Flow Within and Across Online Media Platforms: An Agenda-setting Analysis of Rumor Diffusion on News Websites, Weibo, and WeChat in China: Journalism Studies: Vol 21 , No 15 - Get Access",https://www.tandfonline.com/doi/full/10.1080/1461670X.2020.1827012,"Este estudo analisa a difusão de rumores online na China, com foco em três das principais plataformas de mídia online do país: Weibo, WeChat e sites de notícias tradicionais",
webpage,,Interactive mapping of Covid-19 misinformation in Ibero-America | Profesional de la información,https://revista.profesionaldelainformacion.com/index.php/EPI/article/view/87479,"Este estudo examina a disseminação de desinformação sobre o COVID-19 na Ibero-América, com foco em como as notícias falsas se espalharam através das redes sociais e plataformas de mensagens, como WhatsApp.",
webpage,,Interactive Web App for Fake News Detection | ITM Web of Conferences,https://www.itm-conferences.org/articles/itmconf/abs/2023/03/itmconf_icdsia2023_03003/itmconf_icdsia2023_03003.html,classificação automática de fake news com machine learning,
webpage,,Journal of Medical Internet Research - Medical and Health-Related Misinformation on Social Media: Bibliometric Study of the Scientific Literature,https://www.jmir.org/2022/1/e28152,Descobrir as tendências e tópicos prevalentes relacionados à desinformação médica nas mídias sociais. ,
webpage,,"Legitimating falsehood in social media: A discourse analysis of political fake news - Ebuka Elias Igwebuike, Lily Chimuanya, 2021", https://journals.sagepub.com/doi/10.1177/1750481320961659,Analisam 120 postagens de notícias falsas.,
webpage,,"Messaging Apps: A Rising Tool for Informational Autocrats - Inga K. Trauthig, Zelly C. Martin, Samuel C. Woolley, 2024",https://journals.sagepub.com/doi/10.1177/10659129231190932,propaganda estatal,
webpage,,Misinformation messages shared via WhatsApp in Mexico during the COVID-19 pandemic: an exploratory study | Health Promotion International | Oxford Academic,https://academic.oup.com/heapro/article-abstract/38/3/daad041/7151549?redirectedFrom=fulltext&login=false,"O objetivo foi analisar o conteúdo, formato, autoria, distribuição e evolução temporal das mensagens falsas.",
webpage,,"Political hazard: misinformation in the 2019 Indian general election campaign: South Asian History and Culture: Vol 13 , No 3 - Get Access",https://www.tandfonline.com/doi/full/10.1080/19472498.2022.2095596,"examina a disseminação de desinformação durante a campanha para as eleições gerais da Índia em 2019, no WhatsApp",
webpage,,"Predicting the Veracity of Fake Information on Smart Media for Reducing Misinformation Diffusion by Isha Agarwal, Dipti P. Rana, Anjali S. More :: SSRN",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3354570,desinformação e ML,
webpage,,Reinforcement Learning-Based Rumor Blocking Approach in Directed Social Networks | IEEE Journals & Magazine | IEEE Xplore,https://ieeexplore.ieee.org/document/9748868,"A abordagem proposta oferece um método robusto para minimizar a disseminação de rumores em plataformas de redes sociais,  como facebook, wechat e weibo",
webpage,,"Sir Model for Fake News Spreading Through Whatsapp by Pooja Khurana, Deepak Kumar :: SSRN",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3166095,"É um modelo matemático, mas que tenta antecipar quais tipos de fake news podem surgir e se espalhar no futuro.",
webpage,,"System Is Corrupted, and the Mainstream Media Is Lying to us! Exploring the Relation Between Affinity Toward Conspiracy Myths and Alternative News Media Usage | International Journal of Public Opinion Research | Oxford Academic",https://academic.oup.com/ijpor/article/36/1/edad044/7503112?login=false,"fala sobre desinformação indiretamente ""conspiração e meios alternativos de noticia""",
webpage,,Tackling fake news in socially mediated public spheres: A comparison of Weibo and WeChat - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0160791X22001452?via%3Dihub," analisa como as plataformas chinesas de mídia social, Weibo e WeChat, lidaram com a disseminação de fake news sobre a COVID-19",
webpage,,The Avant-Garde Ways to Prevent the WhatsApp Fake News | SpringerLink,https://link.springer.com/chapter/10.1007/978-981-15-0135-7_45,"A ideia principal é criar um sistema onde os próprios usuários possam sinalizar mensagens falsas, e o WhatsApp bloquearia automaticamente aquelas que forem denunciadas muitas vezes.",
webpage,,The Pushshift Telegram Dataset | Proceedings of the International AAAI Conference on Web and Social Media,https://ojs.aaai.org/index.php/ICWSM/article/view/7348,"Além dos dados brutos, também fornecemos o código-fonte usado para coletá-los",
webpage,,Uncertain spreading model of internet rumors on social media platforms,https://www.aimsciences.org//article/doi/10.3934/jimo.2023066,propagação de rumores,
webpage,,Understanding the Use of Private Messaging Apps in Canada and Links to Disinformation | IEEE Journals & Magazine | IEEE Xplore,https://ieeexplore.ieee.org/document/9893506,"O estudo analisa a disseminação de desinformação no Canadá durante a pandemia de COVID-19, com foco em aplicativos de mensagens privadas, como WhatsApp, Facebook Messenger e WeChat.",
webpage,,Use of Chatbots for News Verification | SpringerLink,https://link.springer.com/chapter/10.1007/978-981-19-6347-6_12,uso de IA para verificação de informações no contexto das eleições do equador,
webpage,,Using Blockchain to Rein in the New Post-Truth World and Check the Spread of Fake News | IEEE Journals & Magazine | IEEE Xplore,https://ieeexplore.ieee.org/document/8764081,Usa blockchain para armazenar fake news do wpp e facebook,
webpage,,Weak Supervision for Fake News Detection via Reinforcement Learning | Proceedings of the AAAI Conference on Artificial Intelligence,https://ojs.aaai.org/index.php/AAAI/article/view/5389,Este estudo propõe um novo método chamado WeFEND para detecção de fake news usando aprendizado por reforço e supervisão fraca. -> testado no WeChat,
webpage,,WhatsApp and audio misinformation during the Covid-19 pandemic | Profesional de la información,https://revista.profesionaldelainformacion.com/index.php/EPI/article/view/86689,Estudam as fake news no Wpp e analisa uma forma específica de ocorrencia.,
webpage,,WhatsApp audios and the remediation of radio: Disinformation in Brazilian 2018 presidential election | Intellect,https://intellectdiscover.com/content/journals/10.1386/rjao_00021_1,"Analisam áudios de notícias chegando a conclusão que usam a linguagem da rádio, o que acelera aa campanhas de desinformação",
webpage,,WhatsApp Monitor: A Fact-Checking System for WhatsApp | Proceedings of the International AAAI Conference on Web and Social Media,https://ojs.aaai.org/index.php/ICWSM/article/view/3271,É um sistema de verificação de fatos,
