Responsável,ARTIGO,BIBTEX,Ano,Autores,Conferencia (Local de Publicação),"Repositorio (PubMed Capes, ACM IEEE)",Citações (Google Scholar),"Plataforma (WhatsApp, Telegram, Discord, WeChat, etc)",País,"conjunto de dados utilizados para fazer analise (Não usou, mensagens, entrevistas, coleta, dado fornecido por usuario). survey de outros artigos...",Tamanho do dataset (Se tiver coletado dado direto da rede social),"Tópico  dos dados (Política, Saúde, Outro?)","Quais as características mais internas dessas plataformas que favorecem o espalhamento de desinformação? (por exemplo: ambiente é criptografado, é anonimo, é dificil de rastrear,  não da pra checar veracidade, viraliza muito facil etc etc) Coisas internas aos sistemas do WhatsApp Telegram Etc","Quais os principais problemas externos à plataformas e da sociedade que facilitam o espalhamento de desinformação levantados pelo artigo? Desafios apontados externos ao WhatsApp/Efeitos da desinformação na população (alguns exemplos: caracteristicas da população em geral, sociedade polarizada, topicos polemicos, característica geracionais, entre outros fatores que favorecem o compartilhamento de fake news)","Quais os impactos causados pela desinformação/fake news na nossa sociedade levantados pelo artigo? Quais os problemas causados em consequência da fake news (alguns exemplos: manipulação de eleições (e outras opiniões), deterioramente da saúde, impactos na saúde, educação, tecnologia etc)","O artigo tem alguma Soluções propostas EFETIVA para combate a desinformação? ( Exemplos: Modelo de IA para detecção de desinformação, arquitetura especifica para checar os fatos, colaboração com agencia de fact-checking, mudanças nas diretrizes e funcionamento das plataformas, políticas publicas de combate a desinformação)",Quais os meios de combate à desinformação tem sido aplicado nessas plataformas,OBSERVAÇÕES
Marcos,Seeing Is Believing: Is Video Modality More Powerful in Spreading Fake News via Online Messaging Apps? | Journal of Computer-Mediated Communication | Oxford Academic,10.1093/jcmc/zmab010,2021,"S Shyam Sundar , Maria D Molina , Eugene Cho","Journal of Computer-Mediated Communication, 2021",ACM,167,WhatsApp,Estados Unidos,Não utilizou coleta de dados empíricos diretos,-,Saúde,Criptografia e falta de escrutínio público; Arquitetura de grupos e disseminação comunitária; Peer-to-peer (P2P) e dificuldade de rastreio; Limitação técnica no combate à viralidade,Baixo envolvimento com o tema; Divisão urbano-rural (educação/alfabetização digital); Viés de confirmação e associações prévias; Coletivismo e motivações sociais,Violência física e mortes; Riscos durante crises de saúde; Erosão de processos democráticos; Degradação da confiança social,Sinalização baseada em modalidade; Sinalização baseada em modalidade; Campanhas de alfabetização midiática focadas; Interatividade para promoção de pensamento crítico,Apenas uma medida é citada: Limitação de encaminhamentos,
Marcos,Supervised Learning for Misinformation Detection in WhatsApp,10.1145/3470482.3479641,2021,"Júlio C S Reis, Fabrício Benevenuto",Proceedings of the Brazilian Symposium on Multimedia and the Web,ACM,15,WhatsApp,Brasil,"Coleta direta de mensagens do WhatsApp e posts do Facebook
Checagens de fatos de agências brasileiras.",9.255 mensagens de WhatsApp,Política e Saúde,"O WhatsApp tem comunicação privada e descentralizada, o que dificulta a identificação e rastreamento do conteúdo, além do fato de que a plataforma facilita o compartilhamento em massa por permitir ampla disseminação entre grupos",A polarização política. Grupos de direita foram mais ativos na disseminação e apresentaram maior probabilidade de associar imagens a desinformação,,"O artigo propõe e testa abordagens automáticas de detecção de desinformação baseadas em atributos linguísticos, da imagem, da fonte e do ambiente (como número de compartilhamentos, toxicidade, viés político)","Checagem de fatos, embora limitada por ser manual e não acompanhar o volume de dados; e ferramentas automáticas como apoio",
Renan,"(Mis)Information Dissemination in WhatsApp: Gathering, Analyzing and Countermeasures",10.1145/3308558.3313688,2019,"Gustavo Resende1, Philipe Melo, Hugo Sousa, Johnnatan Messias
Marisa Vasconcelos, Jussara M. Almeida, Fabrício Benevenuto",The World Wide Web Conference,ACM,271,WhatsApp,Brasil,Dataset de nensagens do WhatsApp,mais de 350 mil mensagens coletadas de 127 grupos públicos de WhatsApp,(Política),"O WhatsApp favorece a disseminação de desinformação por ser uma plataforma criptografada, privada e com pouca rastreabilidade, dificultando a detecção e moderação de conteúdo falso. A facilidade de encaminhamento de mensagens, aliada à ausência de verificação de fatos integrada e ao anonimato relativo dos usuários, permite a circulação rápida e ampla de desinformação, inclusive por meio de campanhas coordenadas.",,,,,
Renan,Characterizing Attention Cascades in WhatsApp Groups,10.1145/3292522.3326018,2019,"Caetano, J. A., Magno, G., Gonçalves, M., Almeida, J., Marques-Neto, H. T., & Almeida, V. (2019, June).",Proceedings of the 10th ACM conference on web science. 2019,ACM,45,WhatsApp,Brasil,Coletaram mensagens ,Conjunto com 1.751.054 mensagens de 30.760 usuários em 120 grupos.,Foram coletados dados de grupos focados e não focados em política,"Falta de curadoria algorítmica, ausência de moderação, criptografia de ponta a ponta, estrutura de grupos amplos e uso de função de resposta que permite reativar tópicos e prolongar atenção.","Eventos políticos polarizadores (ex.: eleições de 2018), alta mobilização digital, e uso intenso da plataforma por grupos ideológicos organizados que dominam a atenção nas conversas.","Embora o estudo não foque diretamente nos impactos sociais, ele mostra que falsidades políticas geram maior engajamento, maior viralização e durações mais longas nas conversas — o que pode amplificar efeitos como manipulação da opinião pública.","Não propõe soluções técnicas diretas, mas sugere que entender as características estruturais e temporais das cascatas é um passo essencial para futuras intervenções em plataformas como o WhatsApp.","O artigo não menciona medidas aplicadas pela plataforma, mas utiliza dados de checagens de seis sites brasileiros para classificar mensagens falsas (ex.: Aos Fatos, Lupa, Comprova etc.).",Analisaram as cascatas
Renan,COVID-19 Fake News Detection in Malaysia – A Supervised Approach,10.1145/3587828.3587853,2023,"R Kalaimagal, B Vimala, S Mun Chong",ICSCA '23: Proceedings of the 2023 12th International Conference on Software and Computer Applications,ACM,0,,,,,,,,,,,
Renan,Farewell to Big Data? Studying Misinformation in Mobile Messaging Applications,Rossini04052023,2023,P Rossini,Political Communication,ACM,24,-,-,-,-,Outro,,,,,,
Renan,Misinformation Campaigns through WhatsApp and Telegram in Presidential Elections in Brazil,10.1145/3653325,2024,"FABRÍCIO BENEVENUTO,  PHILIPE MELO",Communications of the ACM,ACM,5,"WhatsApp, Telegram",Brasil," Monitoramento de 350 grupos públicos no WhatsApp e Telegram, análise de conteúdo multimídia compartilhado.","Não especificado com exatidão, mas inclui milhares de mensagens e mídias virais ao longo de várias eleições (2018–2022).",com foco em campanhas eleitorais brasileiras e desinformação política.,"Criptografia, anonimato do autor da mensagem, facilidade de encaminhamento, grupos públicos com links abertos e viralização rápida.","Zero-rating, população com baixa alfabetização digital, polarização política e desconfiança institucional.","Radicalização, atos antidemocráticos (ex: invasão ao Congresso), manipulação eleitoral, ataques à ciência e instituições públicas.",Sistema de detecção com hashes locais em dispositivos para bloquear envio de conteúdos já desmentidos; colaboração com TSE e redes de fact-checking.,"Limites de encaminhamento, etiquetas de “encaminhado”, suspensão de contas, e monitoramento de grupos públicos por ferramentas como WhatsApp Monitor.",
Renan,Social Debunking of Misinformation on WhatsApp: The Case for Strong and In-group Ties,10.1145/3512964,2022,"IV Pasquetto, E Jahani, S Atreja, M Baum","Proceedings of the ACM on human-computer interaction, 2022",ACM,63,WhatsApp,"Geral, referencia uso do Wpp na India",Survey experimental + entrevistas e chats com usuários reais do WhatsApp.,"726 respostas válidas (experimento com 1348 na Índia e 1457 no Paquistão, mas filtrado).","Política e saúde (COVID-19), com foco em fact-checking.","Criptografia, ausência de moderação, grupos públicos, e facilidade de compartilhamento em massa.","Desconfiança na mídia tradicional, uso político da plataforma e forte engajamento partidário.","Linchamentos, pânico durante a pandemia, manipulação eleitoral e violência política.",Uso de mensagens de checagem em áudio e envio por laços fortes e membros do mesmo grupo político.,"Limite de encaminhamentos, marcação de mensagens virais, Tip-Lines e ChatBots para fact-checking.",
Ana Flávia,Can WhatsApp Counter Misinformation by Limiting Message Forwarding? | SpringerLink,10.1007/978-3-030-36687-2_31,2019,"Philipe de Freitas Melo, Carolina Coimbra Vieira, Kiran Garimella, Pedro O. S. Vaz de Melo & Fabrí­cio Benevenuto ",Complex Networks and Their Applications VIII ,Capes,71,WhatasApp,"Brasil, Índia e Indonésia",Coletaram as mensagens de grupos públicos,784 mil objetos (mensagens do mesmo tema),Política," A natureza fechada do aplicativo, somada à facilidade de transferir multimídia e compartilhar informações com grupos em grande escala",,,"Sugere: Restringir temporariamente recursos de viralidade (encaminhamento/transmissão) de usuários ou conteúdos suspeitos, especialmente em períodos críticos, como eleições.","Limitações de encaminhamentos: Em situações de alta viralidade (α elevado), é difícil conter a infecção devido às fortes conexões entre os grupos; Entretanto, os limites de encaminhamento e transmissão ajudam a desacelerar a propagação, principalmente em redes maiores, como na Índia; O limite de 256 usuários por grupo impede a criação de megagrupos, mas não impede que o conteúdo atinja grande parte da rede;",
Ana Flávia,Content Analysis of Persuasion Principles in Mobile Instant Message Phishing | SpringerLink,10.1007/978-3-031-38530-8_26,2023,"Rufai Ahmad, Sotirios Terzis & Karen Renaud ",International Symposium on Human Aspects of Information Security and Assurance,Capes,3,"WhatasApp, Telegram e Viber",,Utilizaram dados de outras pessoas,67 prints de mensagens,"""Segurança"", links em que o objetivo é fazer phishing - golpe",Os aplicativos MIM frequentemente carecem de proteções técnicas para proteger os usuários contra mensagens enganosas. A detecção automática de phishing em MIM pode ser desafiadora devido ao uso de criptografia de ponta a ponta em alguns desses aplicativos. Autores em [4] levantaram preocupações sobre o potencial de uso das pré-visualizações de links para enganar os usuários a visitar páginas fraudulentas. Este estudo confirma a exploração dessas pré-visualizações pelos golpistas como uma ferramenta para direcionar vítimas a sites falsos. ,,,,,"Sai um pouco da fake news e vai para um caminho de links maliciosos ou sites fraudulentos -> Para descobrir quais palavras eram mais frequentes nos golpes de phishing analisados, foi utilizada uma técnica de análise de texto com a biblioteca NLTK (Natural Language Toolkit), em Python."
Ana Flávia,Frontiers | Perceived Information Overload and Unverified Information Sharing on WeChat Amid the COVID-19 Pandemic: A Moderated Mediation Model of Anxiety and Perceived Herd,10.3389/fpsyg.2022.837820,2022,"Qing Huang1
*, Sihan Lei1
 and Binbin Ni1,2",Frontiers in Psichology,Capes,58,WeChat,China,Fizeram um questionário - 525 pessoas entrevistadas,,Saúde e sobrecarga de informações no wechat,É fácil de se compartilhar,"A ansiedade em conjunto com a sobrecarga cognitica (muita informação) aumenta o espalhamento de notícias não verificadas, 
ansiedade, efeito manada/efeito manada ""percebida"", ""information overload""","confusão, comportamentos arriscados, erosão da confiabilidade em autoridades","As plataformas de mídia social devem melhorar suas funções de filtragem, como implementar verificadores de fatos eficazes para filtrar uma grande quantidade de desinformação. Com base no histórico de navegação dos usuários, empresas de plataformas podem identificar usuários intensivos que provavelmente sofrem de sobrecarga de informação e configurar um modo de proteção para impedi-los de navegar por muito tempo em postagens relacionadas ao coronavírus",,
Ana Flávia,How Disinformation on WhatsApp Went From Campaign Weapon to Governmental Propaganda in Brazil,doi:10.1177/20563051231160632,2023,"Joao V. S, Samuel C. Woolley, Joseph Straubhaar, Martin J., Katie Joseff, and Jacob Gursky","Social Media + SocietyVolume 9, Issue 1, January 2023",Capes,49,WhatsApp,Brasil,-,-,-,"No WhatsApp, as comunicações são protegidas por criptografia de ponta a ponta, o que impede a verificação de fatos dentro da própria plataforma (Kazemi et al., 2022). Somado à ausência de um feed de notícias, isso dificulta a rastreabilidade da origem das informações. Além disso, as trocas de mensagens ocorrem frequentemente entre contatos próximos, já que as contas estão vinculadas a números de telefone celular (Gursky et al., 2022; Rossini et al., 2021)."," governos usam bots políticos para disseminar mensagens e assediar oponentes, campanhas políticas utilizam propaganda computacional para influenciar votos e difamar adversários durante eleições, e atores políticos organizam campanhas de desinformação para atacar apoiadores dos direitos humanos e jornalistas",Manipulação de eleições,,,
Ana Flávia,Interactive Web App for Fake News Detection | ITM Web of Conferences,refId0,2023,"S Agarwal, M Varun, S Prabakeran","ITM Web of Conferences, 2023",Capes,1,"No resumo, cita o WhatsApss, mas depois só cita Twiter e FaceBook",,Não fala de onde foram tiradas as notícias usadas para o treinamento,-,-,,,,Eles desenvolveram uma aplicação que verifica se uma notícia é falsa ou verdaderia.,,
Ana Flávia,Messaging Apps: A Rising Tool for Informational Autocrats,doi:10.1177/10659129231190932,2024," - Inga K. Trauthig, Zelly C. Martin, Samuel C. Woolley","Political Research QuarterlyVolume 77, Issue 1",Capes,16,"aplicativos de mensagens criptografadas (EMAs), como Signal, Telegram, Viber ou WhatsApp","Egito, Etiópia, Índia, Indonésia, Líbia, México, Marrocos, Myanmar, Filipinas, Turquia e Ucrânia.",Pessoas foram entrevistadas,-,-,"Criptografia,  permitem a disseminação em grande escala de informações",Um contexto político extremo," Mostramos que propagandistas estatais incorporam aplicativos de mensagens com criptografia de ponta a ponta em seu arsenal de repressão digital para ampliar a divulgação de propaganda política, o que contribui para o retrocesso democrático.",,WhatsApp limitou o encaminhamento de mensagens e o tamanho dos grupos . Porém foram criados grupos antes dessas limitações que são usados com fins políticos,"Não está falando só de fake news em si, mas em como essas PMIs são usadas como uma maneira de influência política. "
Ana Flávia,"Sir Model for Fake News Spreading Through Whatsapp by Pooja Khurana, Deepak Kumar :: SSRN",khurana2018sir,2018,"Pooja Khurana, Deepak Kumar","Proceedings of 3rd International Conference on Internet of Things and Connected Technologies (ICIoTCT), 2018 ",Capes,30,WhatsApp,Índia,,,,Criptografia,"A queda nos preços de smartphones nos últimos anos;

A redução nos custos de pacotes de dados de internet.",,,,
Ana Flávia,Tackling fake news in socially mediated public spheres: A comparison of Weibo and WeChat - ScienceDirect,PANG2022102004,2022,"H Pang, J Liu, J Lu","Technology in Society, 2022 - Elsevier",Capes,44,Weibo e WeChat,China,Mensagens/ postagens,"252 postagens relacionadas à COVID-19 da conta “WeChat Tencent Myth-buster” (incluindo postagens originais e republicações), e

799 postagens similares da conta “Weibo Rumour Debunking”.
",Saúde - Covid 19,,,,,Acaba que o Governo verifica as postagens e diz o que é ou não verdadeiro. Também existem perfis que são usados para desementir notícias,
Ana Flávia,Use of Chatbots for News Verification | SpringerLink,10.1007/978-981-19-6347-6_12,2023,"B Arias Jiménez, C Rodríguez-Hidalgo, C Mier-Sanmartín, G Coronel-Salas",Communication and Applied Technologies: Proceedings of ICOMTA 2022,Capes,8,,,Testaram com jornalistas a usabilidade da ferramenta,,,,,Impactos/ influência na política,,Basicamente foi desenvolvido um detector de notícias falsas que usa o analisador de fatos do Google. ,Basicamente foi desenvolvido um detector de notícias falsas que usa o analisador de fatos do Google. 
Ana Flávia,WhatsApp audios and the remediation of radio: Disinformation in Brazilian 2018 presidential election | Intellect,kischinhevsky2020whatsapp,2020,"M Kischinhevsky, IM Vieira, JGB dos Santos, V Chagas, MA Freitas, A Aldé","radio journal: international studies in broadcast & audio media, 2020",Capes,18,WhatsApp,Brasil,Coletaram mensagens,"Mais de 1 milhão de mensagens foram coletadas de grupos selecionados entre junho e outubro de 2018 (período eleitoral). Um script foi desenvolvido para descriptografar as mensagens e acessar os áudios. Identificamos 98 mil áudios, principalmente nos formatos MP3 e OGG, que foram então extraídos.",Política,Sua arquitetura privada e criptografada,Políticos pagando para a disseminação de notícias falsas e ataques de ódio no WhatsApp e pessoas usando chips descartáveis,Impactos/ influência na política,,Limites de reencaminhamento de mensagens e com restrições no número máximo de pessoas por grupo,
Helom,A Comparative Study on Various Machine Learning Algorithms for the Prediction of Fake News Detections Using Bring Feed New Data Sets,senthilkumar2023comparative,2023,"G. Senthilkumar, D. Ashok Kumar","International Journal of Scientific Research in Computer Science, Engineering and Information Technology (IJSRCSEIT)",Capes,1,"Twitter, Facebook",India,foi retirado do kaggle,364 amostras,"tópico geral, só fake news",o artigo não discute explicitamente características internas das plataformas ,é mencionado a tendencia das pessoas de compartilhar coisas sem se importar com  a veracidade,"faz referencia aos prejuízos causados por ""missinformations"" mas não cita uma área em especifico "," propõe um modelo de ML ""Passive Aggressive Classifier""",não mencionado ,
Helom,Bias in X (Twitter) and Telegram Based Intelligence Analysis: Exploring Challenges and Potential Mitigating Roles of AI | SN Computer Science,karakikes2024bias,2024,Alexandros Karakikes1 · Panagiotis Alexiadis1 · Konstantinos Kotis1,SN Computer Science,Capes,1,Telegram,Singapura,coleta de dados em grupos de telegram,não tem no texto,"política (Rússica,Ucrânia)",no twitter viés de algoritmos. No telegram a falta de moderação e o fácil acesso em canais,viés de opinião e polarização política,"fala sobre conflitos geopoliticos e ""erosion of trust""",cita o uso de ia para a mitigação dos vieses,fala sobre algumas novas políticas da plataforma e TGeollector,
Helom,Detection of Misinformation About COVID-19 in Brazilian Portuguese WhatsApp Messages | SpringerLink,10.1007/978-3-030-80599-9_18,2021,"Elisabeth Métais • Farid Meziane •
Helmut Horacek • Epaminondas Kapetanios ",26th International Conference on Applications of Natural Language to Information Systems - NLDB,Capes,24,WhatsApp,Brasil,Mensagens de grupos públicos,5.836 mensagens de 236 grupos,saúde (covid),não discute características internas da plataforma,não aborda fatores da sociedade que facilitam a desinformação," menciona impactos na área da saúde como uma preocupação fundamental da desinformação, especialmente durante a covid",propõe o uso de modelos de aprendizado de máquina como uma solução para detectar desinformação em mensagens do WhatsApp,não discute mudanças nas plataformas,
Helom,How to improve the rumor-confutation ability of official rumor-refuting account on social media: A Chinese case study - ScienceDirect,TU2023331,2023,"Yan Tu, Linqi Cheng, Liyi Liu, Zongmin Li, Benjamin Lev",Preprint no SSRN / Computer Communications ,Capes,10,WeChat,China,Coleta direta de 10.253 artigos de 26 contas oficiais de refutação de rumores,10.253 artigos,"Saúde, Política, Sociedade","O texto defende que, a privacidade e a baixa verificação dos chats da plataforma contribui para que as 'missinformations' não sejam detectadas, Privacidade que dificulta monitorament; Falta de verificação prévia; Velocidade de disseminação","""Comportamento do usuário: Falta de verificação individual;
Eventos críticos: Crises amplificam rumores;
Confiança em redes pessoais: Credibilidade atribuída a contatos próximos""",Consequências econômicas e políticas; Perturbação da ordem pública; Riscos à saúde pública: Rumores sobre COVID-19 geram engajamento anormal,"A solução proposta é a avaliação sistemática das contas oficiais com base em critérios claros, para indicar como elas podem melhorar, Otimização de contas oficiais; Personalização por nível administrativo; Método SMAA-AHPSort-II-ITFN","Contas oficiais de desmentidos; Informação autoritária; Políticas governamentais, O artigo descreve medidas já implementadas por órgãos governamentais chineses, como, denuncias e publicação de artigos em um perfil governamental do wechat",
